წელი,ცხოვრებით კმაყოფილება,მშპ ერთ სულ მოსახლეზე,ცხოვრების საშ. ხანგრძ.,,,,,
2006,3.675,8049.906055,70.635,,,,,
2007,3.707,9109.897741,70.765,,,,,
2008,4.156,9358.61459,70.946,,,,,
2009,3.801,9097.421248,71.18,,,,,
2010,4.102,9736.732094,71.46,,,,,
2011,4.203,10541.4719,71.773,,საშუალო,4.282,11578.33956,72.32366667
2012,4.254,11295.75409,72.097,,მაქსიმუმი,5.123,14989.25816,73.919
2013,4.349,11740.08912,72.412,,მინიმუმი,3.675,8049.906055,70.635
2014,4.288,12254.64565,72.707,,მედიანა,4.254,11740.08912,72.412
2015,4.122,12605.14007,72.973,,მოდა,#N/A,#N/A,#N/A
2016,4.448,12963.74396,73.207,,,,,
2017,4.451,13589.70739,73.414,,,,,
2018,4.659,14253.40899,73.6,,,,,
2019,4.892,14989.25816,73.767,,,,,
2020,5.123,14089.30233,73.919,,,,,
